Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Population ages 00-14, total",SP.POP.0014.TO,Lao PDR,LAO,890780,913080,935732,959250,985178,1010348,1033395,1057487,1082721,1109139,1136951,1166013,1196253,1227718,1260194,1293153,1325708,1357492,1388745,1420289,1453218,1488043,1525046,1564358,1605994,1649734,1695436,1743017,1792231,1842948,1895138,1948934,2003879,2059321,2113452,2164339,2211509,2248783,2275408,2297051,2314497,2327601,2335501,2337247,2332558,2322933,2310810,2298503,2287633,2279330,2273197,2268102,2263588,2258168,2250478,2248626,2255329,2265059,2276316,2287091,2296412,2303010,2307198
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Lao PDR,LAO,41.96781439,42.05532943,42.11943611,42.19787007,42.36389992,42.46130208,42.44165428,42.43649593,42.44182685,42.46138468,42.49836372,42.54387149,42.59718548,42.66522192,42.7636227,42.92310603,43.15430923,43.42941612,43.69947502,43.9214918,44.07003507,44.14255681,44.15699839,44.14277253,44.1212553,44.09163077,44.05571473,44.01894892,43.98155664,43.94738659,43.92543185,43.92236634,43.93405898,43.95284738,43.95745131,43.92427942,43.84508737,43.66112275,43.36652454,43.0154799,42.61755013,42.1689231,41.65998793,41.08315172,40.43846681,39.68809852,38.85938553,38.04619433,37.28300419,36.58677036,35.94886215,35.34891811,34.77732889,34.21081556,33.63212241,33.12932353,32.72689544,32.36762454,32.0382018,31.71205897,31.37433142,31.01673623,30.64221609
"Population ages 0-14, female",SP.POP.0014.FE.IN,Lao PDR,LAO,446272,456467,466776,477575,489475,501323,512617,524414,536776,549719,563342,577574,592374,607760,623614,639690,655552,671020,686233,701573,717580,734534,752546,771681,791978,813334,835675,858952,883052,907920,933520,959913,986896,1014143,1040750,1065762,1088950,1107177,1119932,1129979,1137734,1143218,1146173,1146274,1143696,1139434,1134354,1129116,1124331,1120466,1117292,1114330,1111608,1108676,1104967,1104067,1107056,1111511,1116890,1122127,1126573,1129578,1131350
"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,Lao PDR,LAO,41.51369373,41.51098165,41.49234334,41.49215206,41.56114158,41.59514588,41.55934968,41.5401707,41.53356066,41.54287489,41.57157938,41.60999607,41.65842112,41.7229543,41.8285564,42.00403828,42.24649262,42.52965975,42.8074391,43.03960738,43.20477216,43.29931152,43.33816503,43.3494641,43.353446,43.34946055,43.33923861,43.327266,43.31300979,43.30001607,43.29721522,43.31287818,43.34330877,43.37978394,43.40144469,43.38488237,43.32164311,43.14486863,42.84434069,42.47943938,42.06113454,41.58663006,41.05124022,40.45343603,39.80230675,39.08306069,38.31462841,37.559327,36.84360489,36.18226152,35.56492281,34.97563416,34.41438385,33.86500251,33.31140645,32.81998224,32.40882114,32.0402449,31.70781804,31.38072342,31.03871143,30.67434808,30.29215916
"Population ages 0-14, male",SP.POP.0014.MA.IN,Lao PDR,LAO,444509,456614,468956,481675,495704,509025,520779,533073,545944,559419,573609,588440,603878,619959,636579,653463,670156,686472,702513,718717,735638,753508,772501,792678,814017,836399,859760,884065,909179,935028,961618,989021,1016984,1045178,1072703,1098577,1122559,1141606,1155475,1167071,1176763,1184383,1189328,1190973,1188863,1183498,1176456,1169387,1163303,1158865,1155904,1153772,1151980,1149492,1145510,1144560,1148273,1153548,1159427,1164964,1169839,1173433,1175847
"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,Lao PDR,LAO,42.43384218,42.61396168,42.76272506,42.92168983,43.18759113,43.350349,43.34749731,43.35682252,43.37442008,43.40441198,43.44968086,43.50218624,43.56010304,43.631196,43.72108948,43.86261197,44.08090186,44.34649194,44.60748021,44.81790778,44.94811617,44.99679472,44.98499191,44.94346475,44.89483577,44.83811843,44.77519326,44.71246913,44.6509491,44.59478505,44.55298064,44.53054701,44.52293362,44.52355555,44.51068262,44.46053842,44.36508989,44.1737471,43.88493813,43.5475334,43.16968958,42.74665523,42.26397822,41.70802982,41.06994928,40.28857687,39.39952056,38.5284245,37.71775886,36.98656982,36.32793827,35.71708399,35.1348866,34.55110676,33.94739373,33.43329696,33.03952032,32.68946597,32.36304116,32.03789444,31.70447108,31.35362685,30.98674894
"Population ages 05-09, female",SP.POP.0509.FE,Lao PDR,LAO,145446,148395,151471,154627,157961,161468,165127,168995,173075,177309,181723,186311,191079,196058,201227,206608,212094,217594,223206,229031,234993,240988,246906,252589,258060,263577,269520,276268,284079,292974,302727,313022,323543,334055,344487,354824,365048,374161,381644,387165,389620,388872,386058,382575,379702,378335,377959,377248,374957,371216,367678,365606,365386,366667,368307,369664,370151,369802,369488,369777,371577,374664,377901
"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,Lao PDR,LAO,13.52986676,13.49495444,13.46441546,13.43412088,13.4124239,13.39712125,13.38733875,13.38657742,13.39184504,13.3994379,13.41015833,13.42234931,13.43757538,13.45943274,13.49718723,13.56655778,13.66826059,13.79120968,13.92363213,14.05044285,14.148683,14.20578085,14.21897307,14.18926112,14.12637177,14.04826973,13.97764672,13.9354882,13.93385272,13.97238473,14.0406359,14.12407557,14.2096343,14.28916377,14.36581211,14.44412308,14.5226929,14.58044602,14.60022942,14.55476021,14.40395245,14.14593112,13.82702236,13.50153023,13.21420673,12.97704805,12.76617232,12.54889862,12.28710558,11.98735374,11.70368519,11.4753432,11.31200643,11.20002725,11.10334994,10.98881483,10.83608919,10.6598507,10.48954106,10.34095004,10.23748242,10.17420992,10.11838262
"Population ages 05-09, male",SP.POP.0509.MA,Lao PDR,LAO,146947,150030,153246,156545,160018,163666,167473,171491,175717,180104,184691,189478,194467,199683,205120,210788,216571,222385,228303,234442,240725,247025,253253,259255,265038,270875,277146,284219,292344,301539,311590,322210,333095,343981,354743,365377,375874,385566,394224,401152,404606,404122,401031,396931,393327,391364,390520,389400,386838,382845,379371,377947,378368,379794,381216,382367,382811,382682,382833,383631,385877,389373,392980
"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,Lao PDR,LAO,14.02786356,14.00171627,13.9740691,13.94957481,13.94138221,13.93836888,13.93972058,13.94800496,13.96047521,13.97392567,13.98995659,14.00773953,14.02766046,14.05321181,14.08790241,14.14882585,14.24540703,14.36617899,14.49656989,14.61938418,14.70851508,14.75144685,14.74767221,14.69930786,14.61743119,14.52120109,14.43342431,14.3746594,14.35738164,14.38148289,14.4363671,14.50748752,14.58270127,14.65325252,14.71968763,14.7871821,14.85506223,14.91924094,14.97263922,14.96840758,14.84303722,14.58553231,14.25104383,13.9005754,13.58769362,13.32278714,13.07854013,12.8297884,12.54244372,12.21896375,11.92292812,11.70002803,11.54005866,11.41574108,11.29741423,11.16917859,11.01470801,10.84451641,10.68599342,10.55032216,10.45786724,10.40389304,10.35609473
"Population ages 10-14, female",SP.POP.1014.FE,Lao PDR,LAO,124142,127637,130905,134356,138540,142300,145231,148280,151412,154717,158182,161807,165644,169666,173798,178031,182334,186744,191355,196227,201455,206976,212678,218573,224699,230921,237108,243163,248958,254520,260092,266047,272773,280521,289304,298924,309089,318810,327888,336901,345917,354785,362931,369775,374453,375569,373541,370456,367924,366930,367174,367545,366922,364651,361198,358567,358180,359915,362928,365970,368018,368563,368254
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,Lao PDR,LAO,11.54814491,11.60722771,11.63632065,11.67295973,11.76339228,11.80677937,11.77431065,11.74564826,11.71568821,11.69217318,11.67296195,11.65705077,11.64883588,11.64764478,11.65740257,11.6900701,11.75033672,11.83594942,11.93675633,12.03800468,12.12939507,12.20084278,12.24788376,12.27839856,12.30016545,12.30772921,12.29674238,12.26563066,12.21121967,12.13843308,12.06319913,12.00450765,11.97987463,11.99923519,12.06456487,12.16857447,12.2964579,12.42350752,12.54374835,12.66517948,12.78830456,12.90593588,12.99868967,13.04981994,13.03153379,12.88219025,12.61693039,12.32298368,12.0566222,11.84896565,11.6876422,11.53618718,11.35957509,11.13843233,10.88902016,10.65894036,10.48564079,10.37484969,10.30332082,10.23449972,10.13942683,10.00854722,9.860095456
"Population ages 10-14, male",SP.POP.1014.MA,Lao PDR,LAO,118071,123162,128136,133189,139203,144126,147171,150352,153619,157056,160663,164441,168438,172627,176942,181389,185934,190602,195476,200633,206163,211987,218001,224208,230638,237152,243618,249949,256007,261819,267647,273875,280876,288900,297964,307867,318329,327837,336383,345438,355368,366163,376980,386635,393354,394330,390266,385006,380979,379394,379604,380086,379592,377382,373783,371134,371106,373062,375818,378403,380180,380705,380638
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,Lao PDR,LAO,11.27133942,11.49423035,11.68435926,11.86833741,12.12789954,12.27431673,12.24994902,12.22869097,12.20482435,12.18570916,12.16988589,12.15680288,12.15005147,12.14904007,12.15260154,12.17539997,12.23019477,12.31300944,12.41215181,12.51111535,12.59677619,12.65910318,12.69481473,12.71220388,12.72019519,12.71336181,12.68733027,12.64141997,12.57282586,12.48707207,12.40043116,12.33121019,12.29660635,12.30683476,12.36368201,12.45971362,12.58078419,12.68543319,12.77583911,12.88950406,13.03673538,13.21551974,13.39636712,13.53999063,13.58862635,13.42377254,13.07001692,12.68500043,12.35249364,12.10880493,11.9302666,11.76624462,11.57740537,11.34325689,11.07713604,10.84104104,10.67791738,10.57190299,10.49019787,10.40654594,10.30346968,10.1722878,10.0308366
"Population ages 15-19, female",SP.POP.1519.FE,Lao PDR,LAO,105063,108562,112253,115717,118282,121069,124523,127749,131159,135281,138983,141886,144908,147977,151044,153935,156638,159366,162387,165912,170082,174836,180033,185490,191090,196876,202801,208779,214852,221062,227247,233277,239089,244593,249814,255011,260581,266452,272934,280475,288893,297998,307411,316791,325972,334833,342722,348952,353318,355590,356033,355393,354397,354036,354991,357110,359178,359883,359018,357142,355399,355126,356918
"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,Lao PDR,LAO,9.773353383,9.872552528,9.978363848,10.05358809,10.04329122,10.04522736,10.09541074,10.11937343,10.1485928,10.22337309,10.2561813,10.22188794,10.1905865,10.15868548,10.13115735,10.10785167,10.09437853,10.10068327,10.12972301,10.17822936,10.24045951,10.30622582,10.36784223,10.41997575,10.46038343,10.49321044,10.51753484,10.53123256,10.53832252,10.54277186,10.5398516,10.52582539,10.50053427,10.46242147,10.4177696,10.38095019,10.36666569,10.38320136,10.4413981,10.54394993,10.68013407,10.84022295,11.01020772,11.17994864,11.34430612,11.48491133,11.57598605,11.60766677,11.57800913,11.4827563,11.3330251,11.15477063,10.97181236,10.81419228,10.70189801,10.61561406,10.51484239,10.37392726,10.19230409,9.98760713,9.791755176,9.643657506,9.556558169
"Population ages 15-19, male",SP.POP.1519.MA,Lao PDR,LAO,101149,103947,107034,110135,112211,115337,120317,125195,130161,136061,140896,143917,147078,150300,153600,156813,159828,162854,166147,169911,174316,179302,184710,190379,196205,202229,208392,214618,220936,227382,233797,240068,246136,251889,257368,262837,268686,274180,279614,286127,293574,301819,310737,320351,330864,342541,353871,362638,368094,370032,369148,366867,364686,364173,365921,368962,371591,372564,371647,369361,367466,367590,369617
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,Lao PDR,LAO,9.65587719,9.700922482,9.760127589,9.814011016,9.776252917,9.82250224,10.01469113,10.18253732,10.34112365,10.55674266,10.67257702,10.63950353,10.60930772,10.57771922,10.54947764,10.52577704,10.51301843,10.52047113,10.54984646,10.59534633,10.65086516,10.70727223,10.75621033,10.79413003,10.82113918,10.84116553,10.8527806,10.85449412,10.85044492,10.84465001,10.83211694,10.80905423,10.77568789,10.73024513,10.67919369,10.63728308,10.61884368,10.60920834,10.61973455,10.67642116,10.76979685,10.89324033,11.04235484,11.21873381,11.42989008,11.66077486,11.85114757,11.94802987,11.93472345,11.81000532,11.60165387,11.35701126,11.12276364,10.94622449,10.84414437,10.77761017,10.6918724,10.5577764,10.3737589,10.15786645,9.95890049,9.821833898,9.740403568
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Lao PDR,LAO,55.37997651,55.24408594,55.13476798,55.01306737,54.80291875,54.65993067,54.63362084,54.59192825,54.54024283,54.47928897,54.40715992,54.33108746,54.25249885,54.16370771,54.04553016,53.86403317,53.60905451,53.30815851,53.01041192,52.7615962,52.5877709,52.4927373,52.46002719,52.46038149,52.47219301,52.49566129,52.52873962,52.56642112,52.60780991,52.64757162,52.67699129,52.68836409,52.68451336,52.67406798,52.67903653,52.72195537,52.81025807,52.96801547,53.20262558,53.49502454,53.83523546,54.226112,54.67882223,55.20431347,55.80182094,56.53104321,57.35975205,58.16302918,58.90487424,59.56956656,60.1656683,60.71474854,61.22768186,61.72869366,62.2335594,62.71960667,63.14978352,63.50634767,63.80764237,64.08125398,64.34709325,64.62608539,64.90303109
"Population ages 15-64, female",SP.POP.1564.FE.IN,Lao PDR,LAO,599147,612082,625615,639334,652587,666627,681859,697285,713089,729222,745695,762659,780047,797643,814348,828676,840044,849085,857617,867674,880786,897540,917667,940269,964631,990674,1018267,1047189,1077314,1108382,1139933,1171572,1203124,1234612,1266064,1297633,1329626,1361499,1393592,1426852,1461278,1497169,1534688,1573738,1614028,1658220,1706297,1754491,1801733,1847467,1891947,1935603,1978426,2020986,2063655,2108924,2156526,2202830,2247424,2291251,2335233,2379410,2423494
"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,Lao PDR,LAO,55.73467709,55.66256635,55.61175464,55.54586352,55.41093544,55.31050144,55.2803443,55.23377626,55.17594907,55.10811581,55.02822824,54.94402101,54.85640083,54.75857358,54.6219316,54.41344781,54.13593215,53.81549713,53.49839792,53.22946206,53.0312349,52.90818295,52.84730177,52.81996317,52.80460151,52.80137936,52.80870731,52.82229355,52.84140892,52.86039133,52.87075026,52.86328585,52.83981436,52.81030565,52.79751272,52.82385285,52.89644871,53.05540309,53.3135128,53.63980375,54.02230797,54.46226404,54.9662623,55.53917258,56.17055367,56.87765367,57.63290503,58.36201276,59.0416597,59.65871698,60.22321731,60.75304659,61.25027399,61.73196115,62.21293127,62.69081783,63.13182477,63.49840975,63.80299519,64.07575101,64.33903814,64.61429212,64.88958635
"Population ages 15-64, male",SP.POP.1564.MA.IN,Lao PDR,LAO,576311,587345,599267,611234,621863,633983,648394,663106,678270,693837,709850,726411,743521,760951,778310,794096,806835,817191,827025,838479,853305,871986,894140,918855,945334,973505,1003243,1034283,1066434,1099410,1132786,1166329,1199872,1233324,1266719,1300205,1334079,1366638,1397908,1429812,1462435,1495953,1530662,1566871,1604715,1650524,1704654,1759340,1812588,1863675,1912580,1960054,2006764,2053565,2100674,2148119,2195354,2241292,2286113,2330323,2374588,2419114,2463363
"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,Lao PDR,LAO,55.01597563,54.81462401,54.645462,54.46660494,54.17904733,53.99216666,53.96964388,53.93289316,53.8875098,53.83367705,53.76965137,53.70211357,53.63305925,53.55387564,53.45532043,53.30240067,53.07127966,52.7910541,52.51368997,52.28602091,52.13773732,52.07187587,52.06842024,52.09745297,52.13728598,52.18816475,52.24759872,52.30986902,52.37391544,52.43474273,52.4834383,52.51381757,52.52970542,52.53839023,52.56115171,52.62065071,52.72463414,52.88124228,53.09253898,53.35132218,53.64960063,53.99180966,54.39362853,54.87202681,55.43579945,56.18704476,57.08891668,57.96594081,58.76953465,59.48145405,60.10884825,60.67697559,61.20542508,61.72547835,62.25383735,62.74789596,63.16743458,63.51415131,63.81221156,64.0866656,64.35501684,64.63768929,64.91626366
"Population ages 15-64, total",SP.POP.1564.TO,Lao PDR,LAO,1175458,1199427,1224882,1250567,1274449,1300609,1330253,1360391,1391360,1423059,1455546,1489070,1523567,1558594,1592658,1622773,1646879,1666276,1684642,1706152,1734092,1769526,1811807,1859123,1909965,1964180,2021511,2081471,2143748,2207793,2272719,2337901,2402997,2467936,2532782,2597839,2663704,2728138,2791500,2856664,2923713,2993122,3065350,3140609,3218742,3308745,3410951,3513831,3614321,3711142,3804527,3895657,3985189,4074552,4164330,4257043,4351881,4444122,4533537,4621574,4709820,4798524,4886857
"Population ages 20-24, female",SP.POP.2024.FE,Lao PDR,LAO,89607,91574,93649,95931,98579,101662,105092,108702,112097,114619,117352,120744,123920,127221,130911,133566,134715,135442,136166,137485,139740,143036,147321,152296,157657,163300,169102,174965,180837,186651,192398,198006,203430,208777,214131,219381,224456,228943,232838,236739,240994,245993,252031,259139,267119,276110,285822,295333,304269,312491,319920,326242,331007,334049,335488,337285,340003,342309,344606,347500,350578,352878,353707
"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,Lao PDR,LAO,8.335538761,8.327714016,8.324584944,8.334520705,8.370315053,8.435013989,8.520081576,8.610531319,8.673574793,8.661885031,8.659969324,8.698760973,8.714580173,8.733777044,8.780747759,8.77035967,8.681568314,8.584397151,8.494079639,8.434339174,8.413599397,8.431710113,8.484028631,8.55526129,8.630235782,8.703662003,8.76985901,8.825561186,8.869937906,8.90168451,8.923510974,8.934361506,8.934388323,8.930398524,8.929713396,8.930549758,8.929525865,8.921517109,8.907477576,8.89977711,8.909363272,8.948427657,9.026704171,9.145337815,9.296134966,9.470687979,9.654097153,9.82404814,9.970720566,10.0909961,10.18348383,10.23980404,10.247679,10.20368018,10.113957,10.0262871,9.953513113,9.867342075,9.783156117,9.717964683,9.658915895,9.58261173,9.470596323
"Population ages 20-24, male",SP.POP.2024.MA,Lao PDR,LAO,89009,90332,91743,93242,94960,97162,99777,102658,105610,107649,110712,115583,120354,125166,130755,134889,136543,137760,138940,140661,143297,146932,151480,156660,162181,167962,173900,179894,185894,191846,197741,203531,209187,214788,220411,225937,231288,235442,238366,241270,244511,248423,253290,259191,266023,275036,286168,297569,308687,319152,328501,336051,341069,343370,343542,344580,347156,349712,353013,357345,361538,364464,365594
"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,Lao PDR,LAO,8.49701155,8.430334159,8.365738974,8.308687179,8.273236036,8.274613102,8.305026198,8.349600082,8.390546116,8.352303674,8.386202216,8.544789126,8.681637814,8.808883625,8.980385316,9.054198732,8.98139923,8.899382902,8.822281881,8.77139978,8.755576221,8.774222097,8.821129015,8.882349689,8.944640419,9.004216844,9.056482715,9.098293187,9.129512772,9.149836614,9.161572734,9.163957858,9.15808262,9.149757697,9.145701849,9.143922456,9.140822808,9.110303774,9.053117283,9.002649073,8.969896559,8.966077039,9.00093513,9.076902631,9.189902602,9.362757138,9.583772611,9.80414994,10.00855481,10.18610824,10.32417821,10.40306212,10.40245546,10.32093377,10.18093899,10.06539674,9.988812969,9.910192015,9.85364251,9.827425918,9.798242464,9.738308518,9.634399858
"Population ages 25-29, female",SP.POP.2529.FE,Lao PDR,LAO,77969,79172,80701,82472,84302,86161,88096,90127,92364,94956,97960,101306,104830,108098,110240,111972,113567,114299,114909,116346,117909,119419,121744,124700,128245,132347,136965,142069,147533,153161,158796,164281,169549,174606,179441,184115,188626,192943,197122,201159,204913,208417,211893,215645,219948,225500,232375,239939,248075,256651,265563,274599,283340,291568,299050,305972,312464,318137,322765,326401,329644,332657,335104
"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,Lao PDR,LAO,7.252980118,7.199879596,7.173664341,7.16523516,7.158059015,7.148801405,7.142205664,7.139196388,7.146753575,7.175968085,7.228946336,7.298358759,7.37208496,7.420974768,7.394285661,7.352430356,7.318766796,7.244340824,7.168061023,7.137517733,7.099207801,7.039506629,7.011110593,7.005044832,7.020228077,7.05391537,7.103190614,7.166220801,7.23640276,7.304473317,7.365053333,7.412633165,7.446373994,7.468740162,7.483067382,7.494946629,7.50408223,7.518655622,7.541138325,7.562195002,7.57549487,7.581531847,7.58914269,7.610380425,7.654532031,7.734743904,7.848855767,7.981418526,8.129245682,8.287817521,8.453243336,8.618862166,8.771936071,8.906063243,9.015462223,9.095462643,9.147300302,9.170578452,9.163103324,9.127922577,9.08216777,9.033498462,8.972483507
"Population ages 25-29, male",SP.POP.2529.MA,Lao PDR,LAO,77924,79079,80524,82033,83347,84573,85756,86936,88267,89959,92111,94669,97488,100336,102183,104560,107911,110532,112968,116440,119477,121532,124366,127779,131718,136156,141048,146361,151969,157679,163369,168932,174299,179473,184461,189317,194034,198138,201615,204843,207649,210074,212411,215001,218146,223450,231225,240002,249522,259620,270024,280505,290730,300304,308621,315449,321191,326010,329850,332996,336050,338997,341735
"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,Lao PDR,LAO,7.438810997,7.380135444,7.342755704,7.309905304,7.261510475,7.202532422,7.137975953,7.070830304,7.012712142,6.979766521,6.977215408,6.998657836,7.032188304,7.061372441,7.018058367,7.018415285,7.098070002,7.140436926,7.173104422,7.260990323,7.300152691,7.257425213,7.242171379,7.244818842,7.264538674,7.299091443,7.345619909,7.402328266,7.463364229,7.520267961,7.569073585,7.606142203,7.63072859,7.645352106,7.654015162,7.661873481,7.668473255,7.666809578,7.657333972,7.643429865,7.617646422,7.581988624,7.548240585,7.529363066,7.53596368,7.606686993,7.743747078,7.907491875,8.090248738,8.286088025,8.486354369,8.683520475,8.867137956,9.026453046,9.146034541,9.214447458,9.241701729,9.238520163,9.207094306,9.157799481,9.107477997,9.057841192,9.00565094
"Population ages 30-34, female",SP.POP.3034.FE,Lao PDR,LAO,71007,71736,72347,72930,73661,74614,75809,77308,79043,80837,82648,84542,86533,88683,90966,93190,95148,96746,97851,98160,98926,100676,102604,104979,108215,111310,113952,116986,120372,124166,128291,132678,137317,142125,146953,151709,156300,160840,165259,169320,173147,176840,180415,183812,186911,190398,194780,199727,205163,211022,217213,223820,231019,238868,247183,255945,265076,274204,283123,291576,299221,305945,311718
"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,Lao PDR,LAO,6.605351909,6.52365183,6.431021655,6.336218356,6.25453471,6.190738141,6.1460619,6.123730123,6.115989666,6.108904015,6.099004918,6.090634772,6.085357097,6.088092239,6.10149301,6.119112891,6.131704614,6.131789213,6.103946211,6.02185499,5.9562311,5.934644984,5.908804798,5.897237771,5.923743392,5.932649426,5.9096793,5.900983846,5.904176958,5.921635283,5.950213212,5.98665301,6.030781839,6.079392632,6.128228551,6.175747605,6.218058006,6.267673376,6.32216195,6.365267563,6.401130223,6.432878835,6.46171126,6.486936593,6.504778329,6.530730686,6.579024255,6.643791872,6.723046372,6.814358132,6.914181899,7.025054472,7.15214045,7.296317531,7.45181499,7.608337319,7.760041652,7.904158717,8.037705092,8.154041288,8.243970229,8.308118233,8.346331587
"Population ages 30-34, male",SP.POP.3034.MA,Lao PDR,LAO,69560,70415,71283,72115,72927,73837,74881,76120,77473,78771,79987,81173,82363,83668,85207,86832,88246,89377,90297,90429,91822,95307,99123,103332,108599,113145,116312,119828,123632,127760,132153,136759,141565,146486,151387,156202,160862,165260,169250,172747,175886,178751,181351,183710,185667,188518,193146,198745,205112,212186,219781,227910,236772,246391,256416,265953,275001,284025,292775,300857,307938,313974,318931
"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,Lao PDR,LAO,6.640363597,6.571558028,6.500095063,6.426119013,6.353636527,6.288174537,6.23278578,6.191124537,6.155106328,6.111708541,6.058847791,6.00092484,5.941163274,5.888318478,5.852159442,5.828452908,5.804563811,5.773778281,5.733594264,5.638990845,5.610407195,5.691392148,5.772196731,5.858744786,5.989474752,6.065559973,6.057375604,6.060420615,6.071698508,6.093349114,6.122795992,6.157556896,6.197653511,6.240159627,6.281623575,6.321675452,6.35748953,6.394615444,6.428092881,6.445815467,6.452417017,6.451463879,6.444509712,6.433548164,6.413992205,6.417534183,6.468447041,6.54815876,6.650360065,6.77217423,6.907309904,7.055363288,7.221442535,7.405951278,7.598930704,7.768638423,7.912651962,8.048755294,8.172206857,8.273938788,8.345599046,8.389237357,8.404704114
"Population ages 35-39, female",SP.POP.3539.FE,Lao PDR,LAO,62738,63709,64746,65788,66728,67564,68300,68914,69506,70242,71181,72356,73826,75493,77077,78378,79352,80054,80730,81713,83212,85226,87603,89906,91499,93359,95891,98318,100998,104394,107515,110039,112790,115752,119005,122527,126292,130612,135339,139993,144513,148774,152655,156141,159275,162782,166913,171099,175156,179196,183500,188141,193058,198242,203708,209716,216477,224022,232352,241248,250433,259698,268856
"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,Lao PDR,LAO,5.836095738,5.793633219,5.755358592,5.715715524,5.665813182,5.605794345,5.537244321,5.458819336,5.378093781,5.308303678,5.252803361,5.212758332,5.191743338,5.182627321,5.169896189,5.146510826,5.113808459,5.07387169,5.035932628,5.012875273,5.010107578,5.023898977,5.044916326,5.050477814,5.008696937,4.975915767,4.97301135,4.959357611,4.953897414,4.978703374,4.986633112,4.965143509,4.95360633,4.951249538,4.962738127,4.987811051,5.024270594,5.089717863,5.177555624,5.262774049,5.342553214,5.411908501,5.467461326,5.510410211,5.543004791,5.583507537,5.63775468,5.691499624,5.739735813,5.786627554,5.841067687,5.90520832,5.976902034,6.055392969,6.141191157,6.234113068,6.337316606,6.457620765,6.59634708,6.74658434,6.899790444,7.052239895,7.198692084
"Population ages 35-39, male",SP.POP.3539.MA,Lao PDR,LAO,60830,61791,62823,63823,64694,65513,66289,67017,67750,68565,69473,70517,71750,73069,74268,75148,75574,75617,75585,75885,76794,78327,80333,82558,84066,86582,90815,95071,99505,104828,109302,112283,115456,118782,122337,126103,130051,134380,138928,143324,147518,151348,154648,157341,159441,162100,165868,170060,174534,179264,184254,189688,195693,202244,209351,216616,224059,232218,241100,250337,259588,268806,277875
"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,Lao PDR,LAO,5.807024695,5.766666993,5.728606008,5.687224485,5.636345974,5.579358753,5.517623116,5.450702805,5.382669204,5.319842278,5.262472177,5.213184477,5.175642406,5.142421405,5.100820673,5.044183931,4.971036709,4.884873601,4.799425479,4.732084174,4.692152261,4.677377602,4.6780285,4.680866746,4.636425607,4.64155752,4.729525462,4.80828536,4.886791183,4.999617259,5.064079651,5.055528053,5.054616998,5.060017755,5.07624513,5.103517802,5.139796042,5.199752046,5.276482871,5.347921423,5.411715246,5.462455487,5.495591491,5.510084835,5.507999721,5.518214392,5.554922966,5.603042112,5.658929947,5.721412605,5.790746359,5.872132646,5.968550986,6.078993187,6.204166438,6.327503088,6.446900591,6.580638525,6.729817908,6.88457875,7.035238799,7.182381115,7.322767924
